conv_id,reward_fn,n_paragraphs,n_attempts,discovery_paragraph,synth_idx,sequence
ancient_civilization__conv00,ancient_civilization,5,14,4,12,FW FW RC FW NF FW FW NF FW FW FW FW [RC] RC
ancient_civilization__conv01,ancient_civilization,7,17,5,14,FW FW FW FW RC FW FW FW RC FW RC FW RC FW [RC] RC RC
ancient_civilization__conv03,ancient_civilization,7,27,6,25,FW FW FW FW NF FW FW FW FW NF FW FW FW FW RC FC FW RC FW FW FW RC FW FW FW [RC] RC
ancient_civilization__conv04,ancient_civilization,6,9,2,4,FW FW RC FW [RC] RC RC RC RC
ancient_civilization__conv05,ancient_civilization,4,13,3,11,FW RC FW FW FW FW RC FW FW FW FW [RC] RC
ancient_civilization__conv06,ancient_civilization,8,19,4,14,FW RC FC FW FW NF FW FW FW FW RC FW FW FW [RC] RC RC RC RC
ancient_civilization__conv07,ancient_civilization,8,11,2,4,FW RC FW FW [RC] RC RC RC RC RC RC
ancient_civilization__conv08,ancient_civilization,5,13,3,10,FW FW RC FW FW FW FW NF FW FW [RC] RC RC
ancient_civilization__conv09,ancient_civilization,4,9,3,7,FW FW RC FW NF FW FW [RC] RC
architectural_element__conv00,architectural_element,8,14,3,8,FW FW FW RC FW RC FW FW [RC] RC RC RC RC RC
architectural_element__conv02,architectural_element,3,10,2,8,FW FW FW NF FW FW FW FW [RC] RC
architectural_element__conv03,architectural_element,8,19,6,16,FW RC FW RC FW FW FW FW RC FW RC FW FW RC FW FW [RC] RC RC
architectural_element__conv05,architectural_element,7,10,2,4,FW FW RC FW [RC] RC RC RC RC RC
architectural_element__conv06,architectural_element,5,16,4,14,FW FW FW FW NF FW FW FW RC FW RC FW FW FW [RC] RC
architectural_element__conv07,architectural_element,3,7,1,-1,FW FW FW FW NF RC RC
architectural_element__conv08,architectural_element,7,16,4,12,FW RC FW FW FW RC FW FW FW FW RC FW [RC] RC RC RC
architectural_element__conv09,architectural_element,7,23,6,21,FW FW FW RC FW FW FW NF FW FW FW FW NF FW RC FW FW FW RC FW FW [RC] RC
astronomical_object__conv00,astronomical_object,4,7,2,4,FW RC FW FW [RC] RC RC
astronomical_object__conv01,astronomical_object,6,10,2,5,FW FW RC FW FW [RC] RC RC RC RC
astronomical_object__conv02,astronomical_object,3,5,2,3,FW RC FW [RC] RC
astronomical_object__conv03,astronomical_object,6,16,3,12,FW FW FW FW NF FW FW FW RC FW FW FW [RC] RC RC RC
astronomical_object__conv04,astronomical_object,3,6,1,3,FW FW FW [RC] RC RC
astronomical_object__conv05,astronomical_object,8,28,7,-1,FW FW FW FW NF FW FW FW FW RC FW FW FW FW RC FW FW FW FW RC FW NF FW FW NF FW NF RW
astronomical_object__conv08,astronomical_object,5,8,1,3,FW FW FW [RC] RC RC RC RC
bird_species__conv00,bird_species,4,11,2,8,FW FW FW FW RC FW FW FW [RC] RC RC
bird_species__conv01,bird_species,4,11,3,9,FW FW RC FW FW FW FW RC FW [RC] RC
bird_species__conv02,bird_species,8,11,1,3,FW FW FW [RC] RC RC NF RC RC RC RC
bird_species__conv03,bird_species,6,22,5,20,FW FW FW FW RC FW FW FW RC FW RC FW FW FW FW RC FW FW FW FW [RC] RC
bird_species__conv04,bird_species,6,14,3,10,FW FW FW FW NF FW FW FW FW RC [RW] RC RC RC
bird_species__conv05,bird_species,3,9,2,7,FW FW FW RC FC FW FW [RC] RC
bird_species__conv06,bird_species,3,6,1,3,FW FW FW [RC] RC RC
bird_species__conv07,bird_species,5,11,2,7,FW FW FW FW NF FW FW [RC] RC RC RC
bird_species__conv08,bird_species,5,15,3,12,FW FW FW RC FW FW FW RC FW FW FW FW [RC] RC RC
bird_species__conv09,bird_species,7,25,6,23,FW FW FW FW NF FW FW NF FW FW NF FW FW FW NF FW FW FW RC FW FW FW FW [RC] RC
body_part__conv00,body_part,4,12,2,9,FW FW FW FW RC FW FW FW FW [RC] RC RC
body_part__conv01,body_part,3,7,2,5,FW FW FW RC FW [RC] RC
body_part__conv02,body_part,5,11,2,-1,FW FW FW RC FW FW FW NF RC RC RC
body_part__conv04,body_part,3,9,2,7,FW FW FW RC FW FW FW [RC] RC
body_part__conv05,body_part,4,12,2,9,FW FW FW FW RC FW FW FW FW [RC] RC RC
body_part__conv06,body_part,4,11,3,9,FW RC FW FW FW FW RC FW FW [RC] RC
body_part__conv08,body_part,3,4,2,2,FW RC [RW] RC
chemical_element__conv00,chemical_element,7,10,2,4,FW FW RC FW [RC] RC RC NF RC RC
chemical_element__conv01,chemical_element,4,10,3,-1,FW RC FW FW RC FW FW FW NF RC
chemical_element__conv02,chemical_element,8,24,6,21,FW FW FW FW NF FW RC FC FW RC FW FW FW FW RC FW FW FW NF FW FW [RC] RC RC
chemical_element__conv03,chemical_element,3,7,1,4,FW FW FW FW [RC] RC RC
chemical_element__conv04,chemical_element,4,8,3,-1,FW RC FW RC FW FW NF RC
chemical_element__conv05,chemical_element,6,20,5,18,FW FW FW FW NF FW FW FW RC FW FW RC FW FW FW FW RC FW [RC] RC
chemical_element__conv07,chemical_element,8,22,7,20,FW FW FW RC RW FW FW RC FW FW FW FW RC FW FW FW NF FW NF FW [RC] RC
chemical_element__conv08,chemical_element,4,7,1,3,FW FW FW [RC] RC RC NF
chemical_element__conv09,chemical_element,4,7,1,3,FW FW FW [RC] RC RC RC
chess_term__conv00,chess_term,3,11,2,9,FW FW FW FW RC FW FW FW FW [RC] RC
chess_term__conv01,chess_term,4,13,3,11,FW FW FW NF FW FW FW RC FW FW FW [RC] RC
chess_term__conv02,chess_term,8,20,5,16,FW NF FW FW RC FW NF FW FW FW FW RC FW FW FW FW [RC] RC RC RC
chess_term__conv03,chess_term,6,16,4,13,FW NF FW FW RC FC FC FW FW RC FC FC FW [RC] RC RC
chess_term__conv04,chess_term,7,11,1,4,FW FW FW FW [RC] RC RC RC RC RC RC
chess_term__conv05,chess_term,4,11,2,8,FW FW FW FW RC FW FW FW [RC] RC RC
chess_term__conv06,chess_term,5,13,3,10,FW FW FW FW NF FW RC FW FW FW [RC] RC RC
chess_term__conv07,chess_term,5,10,2,6,FW FW RC FW FW FW [RC] RC RC RC
chess_term__conv08,chess_term,4,11,2,8,FW FW FW FW RC FW FW FC [RC] RC RC
chess_term__conv09,chess_term,4,9,3,7,FW FW RC FW RC FW FW [RC] RC
color_adjective__conv00,color_adjective,3,8,2,6,FW FW RC FC FW FW [RC] RC
color_adjective__conv01,color_adjective,5,9,3,6,FW FW RC FW RC FW [RC] RC RC
color_adjective__conv02,color_adjective,8,18,3,12,FW FW RC FW FW FW FW RC FW FW FW FW [RC] RC RC RC RC RC
color_adjective__conv03,color_adjective,3,8,2,-1,FW NF FW FW FW FW NF RC
color_adjective__conv04,color_adjective,6,9,1,3,FW FW FW [RC] RC RC RC RC RC
color_adjective__conv05,color_adjective,8,10,1,2,FW FW [RC] RC RC RC RC RC RC RC
color_adjective__conv06,color_adjective,3,4,1,1,FW [RC] RC RC
color_adjective__conv07,color_adjective,3,7,1,4,FW FW FW FW [RC] RC RC
color_adjective__conv08,color_adjective,6,11,2,6,FW FW FW FW RC FW [RC] RC RC RC RC
color_adjective__conv09,color_adjective,6,9,2,4,FW FW NF FW [RC] RC NF RC RC
container_vessel__conv00,container_vessel,6,9,2,4,FW FW RC FW [RC] RC RC RC NF
container_vessel__conv02,container_vessel,8,20,5,16,FW RC FW FW FW FW RC FW FW NF FW FW FW FW RC FW [RC] RC RC RC
container_vessel__conv03,container_vessel,5,8,2,4,FW RC FW FW [RC] RC RC RC
container_vessel__conv04,container_vessel,6,12,3,8,FW FW NF FW FW FW RC FW [RC] RC RC RC
container_vessel__conv05,container_vessel,3,11,2,9,FW FW FW FW RC FW FW FW FW [RC] RC
container_vessel__conv06,container_vessel,6,14,3,10,FW FW FW FW RC FW RC FW FW FW [RC] RC RC RC
container_vessel__conv07,container_vessel,6,21,4,18,FW FW FW FW RC FW FW FW FW RC FW FW FW RC FW FW FW FW [RC] RC RC
container_vessel__conv08,container_vessel,3,8,2,6,FW FW FW RC FW FW [RC] RC
container_vessel__conv09,container_vessel,4,8,1,4,FW FW FW FW [RC] RC RC RC
contains_ampersand__conv00,contains_ampersand,5,14,4,12,FW FW FW FW RC FW FW FW RC FW NF FW [RC] RC
contains_ampersand__conv03,contains_ampersand,8,20,4,15,FW FW FW FW NF FW FW RC FW FW FW FW RC FW FW [RC] RC RC RC RC
contains_ampersand__conv04,contains_ampersand,3,4,1,1,FW [RC] RC RC
contains_ampersand__conv05,contains_ampersand,5,10,3,7,FW FW FW RC FW RC FW [RC] RC RC
contains_ampersand__conv07,contains_ampersand,7,9,1,2,FW FW [RC] RC RC RC RC RC RC
contains_ampersand__conv08,contains_ampersand,5,13,2,9,FW FW FW FW RC FW FW FW FW [RC] RC RC RC
contains_colon__conv01,contains_colon,4,6,2,3,FW RC FW [RC] RC RC
contains_colon__conv02,contains_colon,3,9,2,7,FW FW FW RC FW FW FW [RC] RC
contains_colon__conv03,contains_colon,8,18,5,14,FW FW RC FW FW RC RW FW FW NF FW FW FW FW [RC] RC RC RC
contains_colon__conv05,contains_colon,7,17,3,12,FW FW FW FW NF FW FW FW RC FW FW FW [RC] RC RC RC RC
contains_colon__conv07,contains_colon,4,12,2,9,FW FW FW FW RC FW FW FW FW [RC] RC RC
contains_colon__conv08,contains_colon,5,12,3,9,FW RC FW FW RC FW FW FW FW [RC] RC RC
contains_colon__conv09,contains_colon,4,5,1,1,FW [RC] RC RC RC
contains_dash__conv00,contains_dash,7,15,5,12,RW FW FU RC FW FW RC FW RC FW FW FW [RC] RC RC
contains_dash__conv02,contains_dash,7,11,1,4,FW FW FW FW [RC] RC RC RC RC RC RC
contains_dash__conv07,contains_dash,4,6,1,2,FW FW [RC] RC RC RC
contains_dollar__conv00,contains_dollar,7,14,2,8,FW FW FW RC FW FW FW FW [RC] RC RC RC RC RC
