reward_fn,layer,delta_norm,proj_in,frac_in
ancient_civilization,0,0.107399,0.040036,0.372783
ancient_civilization,1,0.613723,0.309985,0.505090
ancient_civilization,2,0.940347,0.567006,0.602975
ancient_civilization,3,1.362155,0.941373,0.691091
ancient_civilization,4,1.984862,1.479953,0.745620
ancient_civilization,5,2.574376,1.823870,0.708470
ancient_civilization,6,3.308404,2.349882,0.710276
ancient_civilization,7,3.810475,2.608768,0.684631
ancient_civilization,8,4.971687,3.742665,0.752796
ancient_civilization,9,5.745135,4.233453,0.736876
ancient_civilization,10,6.448779,4.631000,0.718120
ancient_civilization,11,6.947651,5.126867,0.737928
ancient_civilization,12,7.581419,5.665276,0.747258
ancient_civilization,13,8.039210,6.046981,0.752186
ancient_civilization,14,8.712239,6.649679,0.763257
ancient_civilization,15,9.535777,7.410267,0.777102
ancient_civilization,16,10.412214,8.265094,0.793788
ancient_civilization,17,11.401596,8.961778,0.786011
ancient_civilization,18,12.197473,9.537047,0.781887
ancient_civilization,19,14.547531,11.727675,0.806163
ancient_civilization,20,19.045918,16.179340,0.849491
ancient_civilization,21,20.003430,16.796775,0.839695
ancient_civilization,22,22.237658,18.792424,0.845072
ancient_civilization,23,26.351832,22.649643,0.859509
ancient_civilization,24,31.371779,26.671483,0.850174
ancient_civilization,25,34.837228,28.686060,0.823431
ancient_civilization,26,37.706524,30.299160,0.803552
ancient_civilization,27,40.183459,31.633717,0.787232
ancient_civilization,28,44.563856,34.284702,0.769339
ancient_civilization,29,50.344742,38.597467,0.766663
ancient_civilization,30,55.730672,40.837109,0.732758
ancient_civilization,31,65.380523,47.382431,0.724718
ancient_civilization,32,73.113583,51.827630,0.708865
ancient_civilization,33,81.237886,58.259455,0.717146
ancient_civilization,34,87.931590,63.352667,0.720477
ancient_civilization,35,114.135733,90.748001,0.795088
ancient_civilization,36,21.850878,19.324499,0.884381
architectural_element,0,0.167084,0.066219,0.396323
architectural_element,1,1.009186,0.441711,0.437690
architectural_element,2,1.449565,0.774433,0.534252
architectural_element,3,1.997758,1.313099,0.657286
architectural_element,4,2.891583,2.040733,0.705749
architectural_element,5,3.916505,2.671353,0.682076
architectural_element,6,5.085567,3.571736,0.702328
architectural_element,7,6.125419,4.408927,0.719775
architectural_element,8,7.473954,5.714719,0.764618
architectural_element,9,8.497934,6.382635,0.751081
architectural_element,10,9.319768,7.171337,0.769476
architectural_element,11,9.881365,7.607106,0.769844
architectural_element,12,10.729127,8.103247,0.755257
architectural_element,13,11.461799,8.658367,0.755411
architectural_element,14,12.430123,9.339339,0.751347
architectural_element,15,13.378874,10.177654,0.760726
architectural_element,16,14.373663,11.133454,0.774573
architectural_element,17,15.888823,12.308033,0.774635
architectural_element,18,17.126452,13.160033,0.768404
architectural_element,19,19.692940,15.567921,0.790533
architectural_element,20,25.244425,20.683273,0.819320
architectural_element,21,26.752801,21.471272,0.802580
architectural_element,22,29.395007,23.872105,0.812114
architectural_element,23,35.873843,29.560843,0.824022
architectural_element,24,42.819469,34.886429,0.814733
architectural_element,25,48.840942,38.761336,0.793624
architectural_element,26,53.364232,41.975185,0.786579
architectural_element,27,57.122009,44.118427,0.772354
architectural_element,28,64.913246,50.285314,0.774654
architectural_element,29,73.260265,55.888087,0.762870
architectural_element,30,80.334472,59.688150,0.742995
architectural_element,31,94.059895,69.215302,0.735864
architectural_element,32,105.087949,76.146293,0.724596
architectural_element,33,119.241375,87.586327,0.734530
architectural_element,34,132.410954,98.032983,0.740369
architectural_element,35,198.545287,167.038975,0.841314
architectural_element,36,34.753555,31.111734,0.895210
astronomical_object,0,0.183350,0.119634,0.652488
astronomical_object,1,1.033378,0.602808,0.583337
astronomical_object,2,1.452736,0.784096,0.539737
astronomical_object,3,1.974708,1.151835,0.583294
astronomical_object,4,2.807991,1.673689,0.596045
astronomical_object,5,3.799462,2.221087,0.584579
astronomical_object,6,5.020959,2.986391,0.594785
astronomical_object,7,6.080655,3.486422,0.573363
astronomical_object,8,7.338493,4.136849,0.563719
astronomical_object,9,8.541688,4.737295,0.554609
astronomical_object,10,9.889747,5.593169,0.565552
astronomical_object,11,10.648154,6.139520,0.576581
astronomical_object,12,11.575664,6.548669,0.565727
astronomical_object,13,12.274264,7.104884,0.578844
astronomical_object,14,13.173396,7.734441,0.587126
astronomical_object,15,14.201884,8.540638,0.601374
astronomical_object,16,15.407596,9.741457,0.632250
astronomical_object,17,16.920729,11.084025,0.655056
astronomical_object,18,18.207820,11.699639,0.642561
astronomical_object,19,21.286360,14.311853,0.672349
astronomical_object,20,26.996725,19.679594,0.728962
astronomical_object,21,28.739280,20.435594,0.711068
astronomical_object,22,31.554368,22.256139,0.705327
astronomical_object,23,37.263747,26.545547,0.712369
astronomical_object,24,44.621701,30.570329,0.685100
astronomical_object,25,53.089467,34.681993,0.653274
astronomical_object,26,59.423375,38.574036,0.649139
astronomical_object,27,65.560050,40.819969,0.622635
astronomical_object,28,74.618056,46.151307,0.618501
astronomical_object,29,85.800791,51.792250,0.603634
astronomical_object,30,99.880698,57.986422,0.580557
astronomical_object,31,121.543975,69.801019,0.574286
astronomical_object,32,137.230562,79.316569,0.577980
astronomical_object,33,150.870417,89.521220,0.593365
astronomical_object,34,160.350189,94.217515,0.587573
astronomical_object,35,193.388196,126.742578,0.655379
astronomical_object,36,39.852568,31.783952,0.797538
bird_species,0,0.141677,0.077379,0.546166
bird_species,1,0.827635,0.407774,0.492697
bird_species,2,1.206927,0.553722,0.458787
bird_species,3,1.661361,0.865561,0.520995
bird_species,4,2.399669,1.363499,0.568203
bird_species,5,3.264208,1.846172,0.565581
bird_species,6,4.317532,2.517148,0.583006
bird_species,7,5.183633,3.055011,0.589357
bird_species,8,6.392259,3.934276,0.615475
bird_species,9,7.470807,4.324990,0.578919
bird_species,10,9.046952,4.971218,0.549491
bird_species,11,9.984709,5.574381,0.558292
bird_species,12,11.291650,6.337342,0.561241
bird_species,13,12.336883,7.109448,0.576276
bird_species,14,13.008860,7.663353,0.589087
bird_species,15,13.888503,8.292588,0.597083
bird_species,16,14.812285,9.213416,0.622012
bird_species,17,16.049284,10.170019,0.633674
bird_species,18,17.365723,10.885690,0.626849
bird_species,19,19.692543,12.720269,0.645943
bird_species,20,24.115736,16.313140,0.676452
bird_species,21,25.593363,16.839739,0.657973
bird_species,22,27.958135,18.469223,0.660603
bird_species,23,32.960534,22.064456,0.669420
bird_species,24,40.708592,26.331316,0.646825
bird_species,25,49.241438,30.062318,0.610509
bird_species,26,55.562942,33.851834,0.609252
bird_species,27,61.861195,36.807241,0.594997
bird_species,28,70.757407,41.612723,0.588104
bird_species,29,79.823374,45.925964,0.575345
bird_species,30,93.357901,50.312063,0.538916
bird_species,31,111.889052,58.107595,0.519332
bird_species,32,124.609119,64.271811,0.515787
bird_species,33,133.157415,68.917752,0.517566
bird_species,34,139.809795,71.951830,0.514641
bird_species,35,163.708163,93.005083,0.568115
bird_species,36,28.751473,19.110558,0.664681
body_part,0,0.140294,0.040027,0.285306
body_part,1,0.902737,0.259452,0.287406
body_part,2,1.370822,0.520782,0.379905
body_part,3,1.958048,1.050265,0.536384
body_part,4,2.794446,1.677526,0.600307
body_part,5,3.762479,2.173788,0.577754
body_part,6,4.983352,2.947957,0.591561
